0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15.391999,10.625,12.376,8.6,8.2,8.5,3.43,4.37,3.7,3.3799999,3.21,3.27,4.99,4.9300003,4.97
14.867,10.292,11.478001,8.2,8.1,8.3,3.5900002,4.17,3.79,3.37,3.15,3.25,4.97,4.92,4.81
15.138,10.887,11.439,8.6,8.1,8.1,3.6,4.31,3.8100002,3.4699998,3.38,3.27,4.98,4.86,4.84
15.561,11.233999,13.188001,8.700001,8.2,8.4,3.5800002,3.91,3.42,3.36,3.2700002,3.76,4.99,4.8900003,6.2400002
15.343,11.349,12.261,8.3,8.1,8.2,3.6899998,3.96,3.27,3.23,3.24,3.63,4.99,4.9,5.8799996
14.942,10.884999,11.614,8.6,8.1,8.4,3.17,3.7099998,3.8399997,3.81,3.3999999,3.3000002,6.1499996,4.9100003,4.86
14.767,11.904261,11.941,8.5,8.932346,8.3,3.4900002,4.074322,3.55,3.37,3.1075468,4.26,4.95,3.919754,7.0099998
15.463,11.783,12.842,8.400001,7.9999995,8.4,3.43,3.8799999,3.8,3.6899998,3.21,3.3000002,4.95,4.8500004,4.92
15.933999,11.065,12.288,8.5,7.8999996,7.8999996,3.5800002,3.62,3.75,3.2099998,3.76,3.13,4.89,5.8300004,4.75
16.41847,11.167,12.408999,8.987641,7.8999996,8.1,3.7290828,3.9299998,3.26,3.1916645,3.14,4.25,3.9477873,4.9100003,6.9599996
16.251999,10.61,13.849957,8.5,7.7,9.0234165,3.5500002,3.86,3.7413743,3.28,3.71,3.1440303,4.99,6.0800004,3.905124
16.036999,9.309,10.973,8.400001,7.6,8.1,3.68,4.2599998,3.8,3.3199997,3.23,3.68,4.95,4.8500004,6.1
16.906,11.125,11.303,8.2,7.9999995,7.8,3.48,4.14,3.8799999,3.8799999,3.21,3.32,6.2699995,4.7599998,4.85
14.913,11.08,12.147,8.400001,7.9999995,8.2,3.06,3.6799998,3.96,3.97,3.66,3.2099998,5.5199995,5.8,4.79
15.87,11.654,12.360001,8.3,7.9999995,7.8999996,3.09,3.53,3.38,4.2999997,3.92,3.74,6.82,5.8,6.06
16.244999,10.319,12.72,8.400001,7.7,8.3,3.39,3.8799999,3.42,3.6999998,3.15,3.6000001,5.94,4.7,5.8599997
15.002,10.299999,11.009001,8.2,7.8999996,7.7000003,3.4100003,3.7500002,3.8399997,3.6499999,3.63,3.06,5.2599998,5.84,4.5
14.366,10.463,10.034,8.1,7.7999997,8.2,3.48,3.8999999,3.8499997,3.56,3.21,3.04,6.2999997,4.4,4.43
16.210001,10.238,10.567,8.3,8.1,7.8,3.28,3.98,3.73,3.62,3.07,3.7,5.5499997,4.28,5.78
14.613,10.066,6.424,8.2,7.8999996,7.7000003,3.22,3.85,3.9199998,4.0099998,3.47,2.85,6.2,4.73,4.5299997
17.148,9.385,11.838,8.900001,7.9999995,8.1,3.6499999,4.3199997,3.98,3.13,2.93,2.9099998,4.22,4.57,4.13
15.262,10.975,11.94,8.400001,7.9999995,8.2,3.63,3.7799997,3.78,3.13,3.15,2.62,4.29,4.0,3.66
16.156,10.245,12.238001,8.400001,7.7999997,8.2,3.8200002,3.9900002,3.8200002,2.9,3.05,2.46,3.9999998,4.32,3.3
16.517,10.754,13.849957,8.400001,8.1,9.0234165,3.48,4.08,3.7413743,3.1399999,2.7,3.1440303,4.09,2.55,3.905124
16.25,10.002,13.206,8.5,7.8999996,8.1,3.57,4.03,3.79,2.8,2.5,2.78,4.3199997,3.4299998,4.23
15.617999,10.257999,11.468,8.1,7.7999997,7.7000003,4.0,4.1,3.72,2.65,2.92,2.9,3.54,3.79,3.53
15.984,11.669,11.906,8.3,8.1,7.8999996,4.13,3.89,4.12,2.6399999,3.0,2.41,3.99,3.54,3.3
15.877,10.900001,9.144,8.1,7.7,7.8999996,3.9299998,4.2599998,3.48,2.6299999,2.6599998,3.0,3.53,3.2799997,3.53
18.154999,10.2109995,10.887,8.400001,7.9999995,8.0,3.72,4.11,3.99,2.57,2.65,2.3899999,3.18,3.35,3.01
14.774999,10.014,11.3359995,8.3,7.7999997,8.0,3.6499999,4.2,3.8499997,2.76,2.77,2.33,3.28,1.7,3.8100002
14.408,10.9539995,11.288,8.1,7.7,7.8,3.8200002,4.1,4.14,2.74,2.78,2.7599998,3.1399999,1.7,2.98
15.255,11.163,10.705,8.0,7.8999996,7.7000003,4.0099998,4.0499997,4.1799994,2.6299999,2.5500002,2.25,1.52,2.73,2.8799999
15.5,12.065,12.017,8.1,8.400001,8.3,3.92,4.18,4.0699997,2.47,2.28,2.3999999,2.74,2.82,2.4499998
14.999,11.904261,20.189,8.5,8.932346,7.8,4.09,4.074322,4.06,2.74,3.1075468,2.95,2.26,3.919754,3.5
16.853,10.338,11.168,8.2,7.7,8.1,4.31,4.33,4.2599998,2.5,2.59,2.27,2.06,1.49,2.8
16.369,9.501,12.591,8.400001,7.9999995,8.3,3.92,4.36,4.06,2.6100001,2.63,2.78,2.65,2.3899999,2.01
15.565999,10.212001,12.781,7.8,8.1,8.1,4.57,4.5599995,3.96,2.13,2.36,2.83,2.78,2.3799999,1.79
15.368999,10.778,12.905999,8.2,8.1,8.0,3.97,4.3799996,3.96,2.75,2.58,2.59,0.68,0.6,1.38
14.94,11.519,11.792,8.2,8.2,8.1,3.76,4.36,3.68,2.94,2.3799999,2.4499998,2.15,2.0499997,2.08
15.153999,11.904261,12.8810005,8.2,8.932346,8.1,3.9400003,4.074322,3.9299998,2.4799998,3.1075468,2.31,1.8000001,3.919754,2.41
15.700999,11.226,12.075999,8.0,7.6,7.8999996,3.95,4.2799997,3.98,3.1499999,2.32,2.4399998,1.6,1.91,1.98
15.842999,11.904261,9.974,8.3,8.932346,7.7000003,3.88,4.074322,3.9199998,2.95,3.1075468,2.78,3.16,3.919754,1.75
16.869,9.024,13.39,8.1,7.7,8.1,3.81,4.22,4.0,3.39,2.78,2.9599998,3.25,2.9699998,3.32
16.41847,8.773,12.851,8.987641,7.8999996,7.8,3.7290828,4.46,3.75,3.1916645,2.87,3.24,3.9477873,4.12,2.0900002
14.82,9.846001,12.443,7.9,8.1,8.0,3.97,4.06,3.98,3.12,3.05,2.99,2.71,4.2500005,2.99
14.862,10.141999,11.874999,8.2,7.7,8.2,3.71,4.31,4.0,3.34,2.8799999,2.88,4.1499996,2.79,1.38
15.584001,9.394,12.133,8.0,7.9999995,7.8,3.5900002,4.4399996,4.0899997,3.2099998,3.02,2.82,3.45,3.96,2.3999999
15.083,9.968,10.68,8.1,7.9999995,7.7000003,3.99,4.24,4.0899997,3.12,2.87,3.1599998,2.6000001,2.6799998,3.27
15.299999,10.074,13.849957,8.2,8.1,9.0234165,3.77,4.3999996,3.7413743,3.27,3.07,3.1440303,2.26,2.1799998,3.905124
15.059,9.221,10.836,8.3,7.7,7.8,4.05,4.2799997,4.0,2.86,2.94,3.32,3.93,2.5299997,3.2099998
14.572,11.188001,11.704,7.9,7.7,7.8999996,3.76,4.45,4.0699997,2.9,3.1,3.0099998,3.45,2.0499997,2.1799998
16.814,9.543,11.13,8.1,7.6,7.4,3.85,4.34,3.9399998,3.36,3.05,2.5,2.5800002,3.6299999,2.76
16.236,9.043,11.471999,8.2,7.8999996,8.3,3.96,4.0499997,4.0699997,2.9599998,3.42,2.7599998,2.3300002,2.4999998,4.28
14.803,10.38,12.375,8.400001,7.9999995,7.8999996,3.75,4.29,3.8899999,3.26,3.07,3.32,4.2099996,2.2199998,2.74
15.684,9.977,11.419,8.3,7.7,8.0,3.57,4.0,3.8100002,3.24,3.59,3.0,2.64,6.05,3.88
16.294,10.813,11.94,8.2,7.6,7.7000003,2.95,4.0499997,3.8299997,3.82,3.0600002,3.24,5.6,2.6,4.35
15.325001,10.615,12.151,7.8,7.7999997,7.4999995,3.57,3.8999999,3.71,3.59,3.72,3.43,4.95,5.63,4.75
16.451797,11.924121,13.863429,8.986376,8.927523,9.018655,3.729196,4.0731387,3.7419872,3.2026742,3.1179008,3.1540792,3.963978,3.9350104,3.9211257
16.451797,11.924121,13.863429,8.986376,8.927523,9.018655,3.729196,4.0731387,3.7419872,3.2026742,3.1179008,3.1540792,3.963978,3.9350104,3.9211257
16.451797,11.924121,13.863429,8.986376,8.927523,9.018655,3.729196,4.0731387,3.7419872,3.2026742,3.1179008,3.1540792,3.963978,3.9350104,3.9211257
12.299,8.764,11.231999,8.1,8.2,8.4,4.2400002,4.7099996,4.3199997,2.97,2.28,3.29,3.9199996,2.83,4.28
12.463,11.904261,10.512,8.3,8.932346,7.8999996,4.64,4.074322,4.97,2.8,3.1075468,2.5,3.28,3.919754,2.05
